number,score1,score2,diff,win,turn_score_1
18,0,0,0,,21
116,0,4,4,,21
214,0,5,5,,21
312,0,6,6,,21
410,0,7,7,,21
508,0,8,8,,21
606,0,9,9,,21
704,0,10,10,,21
802,0,11,11,,21
900,0,12,12,,21
999,0,13,13,,22
1097,0,14,14,,22
1195,0,15,15,,22
1293,0,16,16,,22
1391,0,17,17,,22
1489,0,18,18,,22
1587,0,19,19,,22
1685,0,20,20,,22
1783,0,21,21,,22
1881,0,22,22,,22
1979,0,23,23,,22
2077,0,24,24,,22
2175,0,25,25,,22
2274,0,26,26,,23
2372,0,27,27,,23
2470,0,28,28,,23
2568,0,29,29,,23
2666,0,30,30,,23
2764,0,31,31,,23
2862,0,32,32,,23
2960,0,33,33,,23
3058,0,34,34,,23
3157,0,35,35,,24
3255,0,36,36,,24
3353,0,37,37,,24
3451,0,38,38,,24
3549,0,39,39,,24
3647,0,40,40,,24
3745,0,41,41,,24
3843,0,42,42,,24
3941,0,43,43,,24
4039,0,44,44,,24
4138,0,45,45,,25
4236,0,46,46,,25
4334,0,47,47,,25
4432,0,48,48,,25
4530,0,49,49,,25
4628,0,50,50,,25
4726,0,51,51,,25
4824,0,52,52,,25
4923,0,53,53,,26
5021,0,54,54,,26
5119,0,55,55,,26
5218,0,56,56,,27
5316,0,57,57,,27
5414,0,58,58,,27
5512,0,59,59,,27
5610,0,60,60,,27
5708,0,61,61,,27
5806,0,62,62,,27
5904,0,63,63,,27
6002,0,64,64,,27
6101,0,65,65,,28
6199,0,66,66,,28
6297,0,67,67,,28
6396,0,68,68,,29
6494,0,69,69,,29
6593,0,70,70,,30
6692,0,71,71,,31
6791,0,72,72,,32
6889,0,73,73,,32
6987,0,74,74,,32
7084,0,75,75,,31
7181,0,76,76,,30
7277,0,77,77,,28
7374,0,78,78,,27
7470,0,79,79,,25
7566,0,80,80,,23
7663,0,81,81,,22
7767,0,82,82,,28
7866,0,83,83,,29
7965,0,84,84,,30
8065,0,85,85,,32
8164,0,86,86,,33
8262,0,87,87,,33
8427,0,88,88,1,100
8525,0,89,89,1,100
8623,0,90,90,1,100
8721,0,91,91,1,100
8819,0,92,92,1,100
8917,0,93,93,1,100
9015,0,94,94,1,100
9113,0,95,95,1,100
9211,0,96,96,1,100
9309,0,97,97,1,100
9407,0,98,98,1,100
9505,0,99,99,1,100
9523,4,0,-4,,20
9621,4,4,0,,20
9719,4,5,1,,20
9818,4,6,2,,21
9916,4,7,3,,21
10014,4,8,4,,21
10112,4,9,5,,21
10210,4,10,6,,21
10308,4,11,7,,21
10406,4,12,8,,21
10504,4,13,9,,21
10602,4,14,10,,21
10700,4,15,11,,21
10798,4,16,12,,21
10896,4,17,13,,21
10994,4,18,14,,21
11092,4,19,15,,21
11191,4,20,16,,22
11289,4,21,17,,22
11387,4,22,18,,22
11485,4,23,19,,22
11583,4,24,20,,22
11681,4,25,21,,22
11779,4,26,22,,22
11877,4,27,23,,22
11975,4,28,24,,22
12073,4,29,25,,22
