number,score1,score2,diff,win,turn_score_1
20,0,0,0,,21
118,0,4,4,,21
216,0,5,5,,21
314,0,6,6,,21
412,0,7,7,,21
510,0,8,8,,21
608,0,9,9,,21
706,0,10,10,,21
804,0,11,11,,21
902,0,12,12,,21
1001,0,13,13,,22
1099,0,14,14,,22
1197,0,15,15,,22
1295,0,16,16,,22
1393,0,17,17,,22
1491,0,18,18,,22
1589,0,19,19,,22
1687,0,20,20,,22
1785,0,21,21,,22
1883,0,22,22,,22
1981,0,23,23,,22
2079,0,24,24,,22
2177,0,25,25,,22
2276,0,26,26,,23
2374,0,27,27,,23
2472,0,28,28,,23
2570,0,29,29,,23
2668,0,30,30,,23
2766,0,31,31,,23
2864,0,32,32,,23
2962,0,33,33,,23
3060,0,34,34,,23
3159,0,35,35,,24
3257,0,36,36,,24
3355,0,37,37,,24
3453,0,38,38,,24
3551,0,39,39,,24
3649,0,40,40,,24
3747,0,41,41,,24
3845,0,42,42,,24
3943,0,43,43,,24
4041,0,44,44,,24
4140,0,45,45,,25
4238,0,46,46,,25
4336,0,47,47,,25
4434,0,48,48,,25
4532,0,49,49,,25
4630,0,50,50,,25
4728,0,51,51,,25
4826,0,52,52,,25
4925,0,53,53,,26
5023,0,54,54,,26
5121,0,55,55,,26
5220,0,56,56,,27
5318,0,57,57,,27
5416,0,58,58,,27
5514,0,59,59,,27
5612,0,60,60,,27
5710,0,61,61,,27
5808,0,62,62,,27
5906,0,63,63,,27
6004,0,64,64,,27
6103,0,65,65,,28
6201,0,66,66,,28
6299,0,67,67,,28
6398,0,68,68,,29
6496,0,69,69,,29
6595,0,70,70,,30
6694,0,71,71,,31
6793,0,72,72,,32
6891,0,73,73,,32
6989,0,74,74,,32
7086,0,75,75,,31
7183,0,76,76,,30
7279,0,77,77,,28
7376,0,78,78,,27
7472,0,79,79,,25
7568,0,80,80,,23
7665,0,81,81,,22
7769,0,82,82,,28
7868,0,83,83,,29
7967,0,84,84,,30
8067,0,85,85,,32
8166,0,86,86,,33
8264,0,87,87,,33
8429,0,88,88,1,100
8527,0,89,89,1,100
8625,0,90,90,1,100
8723,0,91,91,1,100
8821,0,92,92,1,100
8919,0,93,93,1,100
9017,0,94,94,1,100
9115,0,95,95,1,100
9213,0,96,96,1,100
9311,0,97,97,1,100
9409,0,98,98,1,100
9507,0,99,99,1,100
9525,4,0,-4,,20
9623,4,4,0,,20
9721,4,5,1,,20
9820,4,6,2,,21
9918,4,7,3,,21
10016,4,8,4,,21
10114,4,9,5,,21
10212,4,10,6,,21
10310,4,11,7,,21
10408,4,12,8,,21
10506,4,13,9,,21
10604,4,14,10,,21
10702,4,15,11,,21
10800,4,16,12,,21
10898,4,17,13,,21
10996,4,18,14,,21
11094,4,19,15,,21
11193,4,20,16,,22
11291,4,21,17,,22
11389,4,22,18,,22
11487,4,23,19,,22
11585,4,24,20,,22
11683,4,25,21,,22
11781,4,26,22,,22
11879,4,27,23,,22
11977,4,28,24,,22
12075,4,29,25,,22
12173,4,30,26,,22
12272,4,31,27,,23
12370,4,32,28,,23
12468,4,33,29,,23
12566,4,34,30,,23
12664,4,35,31,,23
12762,4,36,32,,23
12860,4,37,33,,23
12958,4,38,34,,23
13056,4,39,35,,23
13155,4,40,36,,24
13253,4,41,37,,24
13351,4,42,38,,24
13449,4,43,39,,24
13547,4,44,40,,24
13645,4,45,41,,24
13743,4,46,42,,24
13841,4,47,43,,24
13939,4,48,44,,24
14037,4,49,45,,24
14136,4,50,46,,25
14234,4,51,47,,25
14332,4,52,48,,25
14430,4,53,49,,25
14529,4,54,50,,26
14627,4,55,51,,26
14725,4,56,52,,26
14823,4,57,53,,26
14921,4,58,54,,26
15019,4,59,55,,26
15117,4,60,56,,26
15215,4,61,57,,26
15313,4,62,58,,26
15412,4,63,59,,27
15510,4,64,60,,27
15609,4,65,61,,28
15707,4,66,62,,28
15806,4,67,63,,29
15904,4,68,64,,29
16003,4,69,65,,30
16101,4,70,66,,30
16200,4,71,67,,31
16298,4,72,68,,31
16396,4,73,69,,31
16493,4,74,70,,30
16590,4,75,71,,29
16686,4,76,72,,27
16783,4,77,73,,26
16879,4,78,74,,24
16975,4,79,75,,22
17072,4,80,76,,21
17177,4,81,77,,28
17276,4,82,78,,29
17376,4,83,79,,31
17475,4,84,80,,32
17574,4,85,81,,33
17735,4,86,82,1,96
17833,4,87,83,1,96
17931,4,88,84,1,96
18029,4,89,85,1,96
18127,4,90,86,1,96
18225,4,91,87,1,96
18323,4,92,88,1,96
18421,4,93,89,1,96
18519,4,94,90,1,96
18617,4,95,91,1,96
18715,4,96,92,1,96
18813,4,97,93,1,96
18911,4,98,94,1,96
19009,4,99,95,1,96
19031,5,0,-5,,20
19129,5,4,-1,,20
19227,5,5,0,,20
19325,5,6,1,,20
19423,5,7,2,,20
19521,5,8,3,,20
19620,5,9,4,,21
19718,5,10,5,,21
19816,5,11,6,,21
19914,5,12,7,,21
20012,5,13,8,,21
20110,5,14,9,,21
20208,5,15,10,,21
20306,5,16,11,,21
20404,5,17,12,,21
20502,5,18,13,,21
20600,5,19,14,,21
20698,5,20,15,,21
20796,5,21,16,,21
20895,5,22,17,,22
20993,5,23,18,,22
21091,5,24,19,,22
21189,5,25,20,,22
21287,5,26,21,,22
21385,5,27,22,,22
21483,5,28,23,,22
21581,5,29,24,,22
21679,5,30,25,,22
21777,5,31,26,,22
21876,5,32,27,,23
21974,5,33,28,,23
22072,5,34,29,,23
22170,5,35,30,,23
22268,5,36,31,,23
22366,5,37,32,,23
22464,5,38,33,,23
22562,5,39,34,,23
22660,5,40,35,,23
22758,5,41,36,,23
22856,5,42,37,,23
22955,5,43,38,,24
23053,5,44,39,,24
23151,5,45,40,,24
23249,5,46,41,,24
23347,5,47,42,,24
23445,5,48,43,,24
23543,5,49,44,,24
23642,5,50,45,,25
23740,5,51,46,,25
23838,5,52,47,,25
23936,5,53,48,,25
24034,5,54,49,,25
24133,5,55,50,,26
24231,5,56,51,,26
24329,5,57,52,,26
24427,5,58,53,,26
24525,5,59,54,,26
24623,5,60,55,,26
24721,5,61,56,,26
24819,5,62,57,,26
24918,5,63,58,,27
25016,5,64,59,,27
25115,5,65,60,,28
25213,5,66,61,,28
25312,5,67,62,,29
25411,5,68,63,,30
25509,5,69,64,,30
25607,5,70,65,,30
25706,5,71,66,,31
25804,5,72,67,,31
25902,5,73,68,,31
25999,5,74,69,,30
26095,5,75,70,,28
26192,5,76,71,,27
26288,5,77,72,,25
26384,5,78,73,,23
26481,5,79,74,,22
26578,5,80,75,,21
26684,5,81,76,,29
26783,5,82,77,,30
26882,5,83,78,,31
26981,5,84,79,,32
27080,5,85,80,,33
27240,5,86,81,1,95
27338,5,87,82,1,95
27436,5,88,83,1,95
27534,5,89,84,1,95
27632,5,90,85,1,95
27730,5,91,86,1,95
27828,5,92,87,1,95
27926,5,93,88,1,95
28024,5,94,89,1,95
28122,5,95,90,1,95
28220,5,96,91,1,95
28318,5,97,92,1,95
28416,5,98,93,1,95
28514,5,99,94,1,95
28537,6,0,-6,,20
28635,6,4,-2,,20
28733,6,5,-1,,20
28831,6,6,0,,20
28929,6,7,1,,20
29027,6,8,2,,20
29125,6,9,3,,20
29223,6,10,4,,20
29322,6,11,5,,21
29420,6,12,6,,21
29518,6,13,7,,21
29616,6,14,8,,21
29714,6,15,9,,21
29812,6,16,10,,21
29910,6,17,11,,21
30008,6,18,12,,21
30106,6,19,13,,21
30204,6,20,14,,21
30302,6,21,15,,21
30400,6,22,16,,21
30499,6,23,17,,22
30597,6,24,18,,22
30695,6,25,19,,22
30793,6,26,20,,22
30891,6,27,21,,22
30989,6,28,22,,22
31087,6,29,23,,22
31185,6,30,24,,22
31283,6,31,25,,22
31381,6,32,26,,22
31480,6,33,27,,23
31578,6,34,28,,23
31676,6,35,29,,23
31774,6,36,30,,23
31872,6,37,31,,23
31970,6,38,32,,23
32068,6,39,33,,23
32166,6,40,34,,23
32264,6,41,35,,23
32362,6,42,36,,23
32460,6,43,37,,23
32558,6,44,38,,23
32657,6,45,39,,24
32755,6,46,40,,24
32853,6,47,41,,24
32951,6,48,42,,24
33049,6,49,43,,24
33147,6,50,44,,24
33246,6,51,45,,25
33344,6,52,46,,25
33442,6,53,47,,25
33540,6,54,48,,25
33638,6,55,49,,25
33737,6,56,50,,26
33835,6,57,51,,26
33933,6,58,52,,26
34031,6,59,53,,26
34129,6,60,54,,26
34227,6,61,55,,26
34325,6,62,56,,26
34424,6,63,57,,27
34522,6,64,58,,27
34621,6,65,59,,28
34719,6,66,60,,28
34818,6,67,61,,29
34917,6,68,62,,30
35015,6,69,63,,30
35113,6,70,64,,30
35212,6,71,65,,31
35310,6,72,66,,31
35407,6,73,67,,30
35504,6,74,68,,29
35601,6,75,69,,28
